iter	Passed	Remaining
769	10464	3125
770	10475	3111
771	10487	3097
772	10498	3083
773	10510	3068
774	10521	3054
775	10533	3040
776	10545	3026
777	10558	3012
778	10570	2998
779	10581	2984
780	10594	2970
781	10605	2956
782	10617	2942
783	10629	2928
784	10640	2914
785	10652	2900
786	10664	2886
787	10675	2872
788	10688	2858
789	10701	2844
790	10713	2830
791	10725	2816
792	10737	2802
793	10748	2788
794	10761	2775
795	10773	2761
796	10786	2747
797	10798	2733
798	10809	2719
799	10821	2705
800	10833	2691
801	10845	2677
802	10856	2663
803	10868	2649
804	10880	2635
805	10892	2621
806	10905	2608
807	10917	2594
808	10929	2580
809	10940	2566
810	10951	2552
811	10964	2538
812	10976	2524
813	10988	2510
814	10999	2496
815	11011	2483
816	11023	2469
817	11034	2455
818	11046	2441
819	11058	2427
820	11071	2413
821	11082	2399
822	11094	2385
823	11105	2372
824	11117	2358
825	11129	2344
826	11141	2330
827	11152	2316
828	11164	2302
829	11176	2289
830	11188	2275
831	11201	2261
832	11213	2248
833	11225	2234
834	11238	2220
835	11250	2206
836	11262	2193
837	11274	2179
838	11287	2165
839	11297	2151
840	11309	2138
841	11321	2124
842	11333	2110
843	11344	2096
844	11357	2083
845	11369	2069
846	11382	2056
847	11394	2042
848	11406	2028
849	11417	2014
850	11430	2001
851	11441	1987
852	11453	1973
853	11465	1960
854	11477	1946
855	11489	1932
856	11502	1919
857	11514	1905
858	11526	1892
859	11538	1878
860	11549	1864
861	11561	1850
862	11572	1837
863	11583	1823
864	11595	1809
865	11606	1795
866	11618	1782
867	11629	1768
868	11640	1754
869	11653	1741
870	11665	1727
871	11677	1714
872	11689	1700
873	11701	1686
874	11713	1673
875	11725	1659
876	11737	1646
877	11748	1632
878	11761	1619
879	11773	1605
880	11784	1591
881	11797	1578
882	11809	1564
883	11822	1551
884	11834	1537
885	11845	1524
886	11857	1510
887	11868	1496
888	11880	1483
889	11892	1469
890	11904	1456
891	11916	1442
892	11928	1429
893	11940	1415
894	11952	1402
895	11964	1388
896	11976	1375
897	11988	1361
898	12000	1348
899	12013	1334
900	12025	1321
901	12038	1307
902	12050	1294
903	12061	1280
904	12073	1267
905	12087	1254
906	12099	1240
907	12111	1227
908	12124	1213
909	12135	1200
910	12147	1186
911	12160	1173
912	12173	1160
913	12185	1146
914	12197	1133
915	12210	1119
916	12225	1106
917	12238	1093
918	12249	1079
919	12261	1066
920	12272	1052
921	12283	1039
922	12296	1025
923	12308	1012
924	12319	998
925	12331	985
926	12344	972
927	12357	958
928	12369	945
929	12381	931
930	12393	918
931	12405	905
932	12418	891
933	12429	878
934	12441	864
935	12454	851
936	12466	838
937	12477	824
938	12489	811
939	12501	797
940	12514	784
941	12526	771
942	12538	757
943	12549	744
944	12561	731
945	12572	717
946	12584	704
947	12595	690
948	12607	677
949	12619	664
950	12630	650
951	12642	637
952	12654	624
953	12666	610
954	12678	597
955	12689	584
956	12702	570
957	12713	557
958	12725	544
959	12737	530
960	12750	517
961	12762	504
962	12774	490
963	12786	477
964	12797	464
965	12809	450
966	12821	437
967	12834	424
968	12846	410
969	12857	397
970	12869	384
971	12881	371
972	12892	357
973	12904	344
974	12915	331
975	12928	317
976	12940	304
977	12951	291
978	12964	278
979	12975	264
980	12987	251
981	12998	238
982	13011	225
983	13023	211
984	13035	198
985	13047	185
986	13059	172
987	13070	158
988	13081	145
989	13092	132
990	13104	119
991	13115	105
992	13127	92
993	13139	79
994	13150	66
995	13161	52
996	13173	39
997	13184	26
998	13197	13
999	13208	0
